School Name,BoroughCode,Geographical District,Project Description,Construction Award,Project type,Building ID,Building Address,City,Postcode,Borough,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL,NTA,Location 1,Data As Of
P.S. 101 - BROOKLYN,K,21,Addition,65999000,CAP,K101,2360 BENSON AVENUE,Brooklyn,11214,BROOKLYN ,40.597863,-73.991693,11,47,302,3185973,3068750032,Bensonhurst East                                                           ,"(40.597863, -73.991693)",
P.S./I.S. 338 - BROOKLYN,K,22,Demo,739309,CAP,K338,510 CONEY ISLAND AVE,Brooklyn,11218,BROOKLYN ,40.645199,-73.97052,12,40,492,3124797,3053420006,Kensington-Ocean Parkway                                                   ,"(40.645199, -73.97052)",
P.S./I.S. 338 - BROOKLYN,K,22,New,67683691,CAP,K338,510 CONEY ISLAND AVE,Brooklyn,11218,BROOKLYN ,40.645199,-73.97052,12,40,492,3124797,3053420006,Kensington-Ocean Parkway                                                   ,"(40.645199, -73.97052)",
PRE-K CENTER @ 369 93RD STREET - BROOKLYN,K,20,New,27637000,CAP,K613,369 93RD STREET,Brooklyn,11209,BROOKLYN ,40.618041,-74.031381,10,43,58,3155119,3061030042,Bay Ridge                                                                  ,"(40.618041, -74.031381)",
PRE-K CENTER @ 219 25TH STREET - BROOKLYN,K,15,Lease,8464400,CAP,K661,219 25TH STREET,Brooklyn,11232,BROOKLYN ,40.659882,-73.997016,7,38,101,3336859,3006520070,Sunset Park West                                                           ,"(40.659882, -73.997016)",
PRE-K CENTER @ 1223 CONEY ISLAND AVENUE - BROOKLYN,K,21,Lease,6584000,CAP,K672,1223 CONEY ISLAND AVENUE,Brooklyn,11230,BROOKLYN ,40.62782,-73.96574,14,45,530,3179195,3066950056,Midwood                                                                    ,"(40.62782, -73.96574)",
P.S. 677 - BROOKLYN,K,84,Lease,0,CAP,K677,139 MENAHAN STREET,Brooklyn,11221,BROOKLYN ,40.695717,-73.919473,4,37,419,3325706,3033060015,Bushwick South                                                             ,"(40.695717, -73.919473)",
P.S. 677 - BROOKLYN,K,84,Lease,3165000,CAP,K677,139 MENAHAN STREET,Brooklyn,11221,BROOKLYN ,40.695717,-73.919473,4,37,419,3325706,3033060015,Bushwick South                                                             ,"(40.695717, -73.919473)",
PRE-K CENTER @ 1423 62ND STREET - BROOKLYN,K,20,Lease,24882000,CAP,K678,1423 62ND STREET,Brooklyn,11219,BROOKLYN ,40.625899,-73.996729,11,44,250,3141384,3057270010,Bensonhurst West                                                           ,"(40.625899, -73.996729)",
PRE-K CENTER @ 1355 84TH STREET - BROOKLYN,K,20,Lease,0,CAP,K762,1355 84TH STREET,Brooklyn,11228,BROOKLYN ,40.614466,-74.011425,10,43,150,3335077,3063090048,Dyker Heights                                                              ,"(40.614466, -74.011425)",
P.S. 884 - BROOKLYN,K,84,Lease,0,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226,BROOKLYN ,40.648568,-73.957639,14,40,794,3117232,3051030101,Erasmus                                                                    ,"(40.648568, -73.957639)",
P.S. 884 - BROOKLYN,K,84,Lease,2162000,CAP,K884,15 SNYDER AVENUE,Brooklyn,11226,BROOKLYN ,40.648568,-73.957639,14,40,794,3117232,3051030101,Erasmus                                                                    ,"(40.648568, -73.957639)",
I.S. 323 - MANHATTAN,M,2,New,98820000,CAP,M323,75 MORTON STREET,Manhattan,10014,MANHATTAN,40.730999,-74.007191,2,3,69,1010407,1006030049,West Village                                                               ,"(40.730999, -74.007191)",
